Building 60 4-fault (1 ctx + 3 profile) travelplanner_real SYNTHETIC examples (bench_seed=42, scan_limit=8000)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 travel_real_00139 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2594,1365)
  N=4 travel_real_04528 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5271,1613)
  N=4 travel_real_04528 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(19836,3041)
  N=4 travel_real_04528 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(20146,4336)
  N=4 travel_real_04528 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6673,3011)
  N=4 travel_real_04635 seed=0 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2720,1359)
  N=4 travel_real_04635 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7049,3104)
  N=4 travel_real_04635 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5440,2564)
  N=4 travel_real_04635 seed=0 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5493,2614)
  N=4 travel_real_04635 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(21812,3064)
  N=4 travel_real_04635 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(21841,4775)
  N=4 travel_real_04635 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7203,2376)
  N=4 travel_real_04635 seed=1 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2720,1359)
  N=4 travel_real_04635 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7049,3104)
  N=4 travel_real_04635 seed=1 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5440,3037)
  N=4 travel_real_04635 seed=1 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5493,2614)
  N=4 travel_real_04635 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(21690,3030)
  N=4 travel_real_04635 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(21841,4775)
  N=4 travel_real_04635 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7203,2376)
  N=4 travel_real_04635 seed=2 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2720,899)
  N=4 travel_real_04635 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6641,2149)
  N=4 travel_real_04635 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5440,1241)
  N=4 travel_real_04635 seed=2 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5493,1513)
  N=4 travel_real_04635 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(20110,2378)
  N=4 travel_real_04635 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(20106,3786)
  N=4 travel_real_04635 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6795,2967)
  N=4 travel_real_04666 seed=0 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2609,993)
  N=4 travel_real_04666 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6435,2353)
  N=4 travel_real_04666 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5218,1610)
  N=4 travel_real_04666 seed=0 arm=react: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5271,1578)
  N=4 travel_real_04666 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(18541,1705)
  N=4 travel_real_04666 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(19366,3649)
  N=4 travel_real_04666 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6589,1793)
  N=4 travel_real_04666 seed=1 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2609,993)
  N=4 travel_real_04666 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6435,2353)
  N=4 travel_real_04666 seed=1 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5218,2106)
  N=4 travel_real_04666 seed=1 arm=react: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5271,1578)
  N=4 travel_real_04666 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(18783,1943)
  N=4 travel_real_04666 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(19366,3649)
  N=4 travel_real_04666 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6589,1793)
  N=4 travel_real_04666 seed=2 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2609,760)
  N=4 travel_real_04666 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6228,1956)
  N=4 travel_real_04666 seed=2 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5218,1579)
  N=4 travel_real_04666 seed=2 arm=react: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5271,1368)
  N=4 travel_real_04666 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(15871,1372)
  N=4 travel_real_04666 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(18549,3230)
  N=4 travel_real_04666 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6382,2009)
  N=4 travel_real_04727 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2629,743)
  N=4 travel_real_04727 seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6205,1823)
  N=4 travel_real_04727 seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5258,1947)
  N=4 travel_real_04727 seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5311,1842)
  N=4 travel_real_04727 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(16677,2136)
  N=4 travel_real_04727 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(18075,2805)
  N=4 travel_real_04727 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(6359,2615)
  N=4 travel_real_04727 seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2629,743)
  N=4 travel_real_04727 seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6205,1823)
  N=4 travel_real_04727 seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5258,1539)
  N=4 travel_real_04727 seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5311,1842)
  N=4 travel_real_04727 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(18985,1843)
  N=4 travel_real_04727 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(18075,2805)
  N=4 travel_real_04727 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(6359,2615)
  N=4 travel_real_04727 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2629,824)
  N=4 travel_real_04727 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(6306,2006)
  N=4 travel_real_04727 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5258,1323)
  N=4 travel_real_04727 seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5311,2105)
  N=4 travel_real_04727 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(19089,2101)
  N=4 travel_real_04727 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(19125,3713)
  N=4 travel_real_04727 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(6460,2722)
  N=4 travel_real_04734 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2675,855)
  N=4 travel_real_04734 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6616,2325)
  N=4 travel_real_04734 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5350,1630)
  N=4 travel_real_04734 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5403,1775)
  N=4 travel_real_04734 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(22599,2068)
  N=4 travel_real_04734 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2675,855)
  N=4 travel_real_04734 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6770,1293)
  N=4 travel_real_04734 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2675,855)
  N=4 travel_real_04734 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6616,2325)
  N=4 travel_real_04734 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5350,1420)
  N=4 travel_real_04734 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5403,1775)
  N=4 travel_real_04734 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(20878,1985)
  N=4 travel_real_04734 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2675,855)
  N=4 travel_real_04734 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6770,1293)
  N=4 travel_real_04734 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2675,643)
  N=4 travel_real_04734 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6320,1707)
  N=4 travel_real_04734 seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5350,1057)
  N=4 travel_real_04734 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5403,1835)
  N=4 travel_real_04734 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(22856,1810)
  N=4 travel_real_04734 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2675,643)
  N=4 travel_real_04734 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6474,1920)
  N=4 travel_real_04809 seed=0 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2589,1103)
  N=4 travel_real_04809 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6505,2588)
  N=4 travel_real_04809 seed=0 arm=full_regen: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5178,2066)
  N=4 travel_real_04809 seed=0 arm=react: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5231,2091)
  N=4 travel_real_04809 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19319,2616)
  N=4 travel_real_04809 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19767,3949)
  N=4 travel_real_04809 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6659,3012)
  N=4 travel_real_04809 seed=1 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2589,1103)
  N=4 travel_real_04809 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6505,2588)
  N=4 travel_real_04809 seed=1 arm=full_regen: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5178,2472)
  N=4 travel_real_04809 seed=1 arm=react: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5231,2091)
  N=4 travel_real_04809 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16128,1967)
  N=4 travel_real_04809 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19767,3949)
  N=4 travel_real_04809 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6659,3012)
  N=4 travel_real_04809 seed=2 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2589,1307)
  N=4 travel_real_04809 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6891,3143)
  N=4 travel_real_04809 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5178,2196)
  N=4 travel_real_04809 seed=2 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5231,1759)
  N=4 travel_real_04809 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19469,2852)
  N=4 travel_real_04809 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(21908,5181)
  N=4 travel_real_04809 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7045,3572)
  N=4 travel_real_04849 seed=0 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2529,1206)
  N=4 travel_real_04849 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6528,2800)
  N=4 travel_real_04849 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5058,1851)
  N=4 travel_real_04849 seed=0 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5111,1925)
  N=4 travel_real_04849 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(18453,2524)
  N=4 travel_real_04849 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(20229,4369)
  N=4 travel_real_04849 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6682,2328)
  N=4 travel_real_04849 seed=1 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2529,1206)
  N=4 travel_real_04849 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6528,2800)
  N=4 travel_real_04849 seed=1 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5058,1980)
  N=4 travel_real_04849 seed=1 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5111,1925)
  N=4 travel_real_04849 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(15517,2011)
  N=4 travel_real_04849 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(20229,4369)
  N=4 travel_real_04849 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6682,2328)
  N=4 travel_real_04849 seed=2 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2529,1192)
  N=4 travel_real_04849 seed=2 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6614,2831)
  N=4 travel_real_04849 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5058,1553)
  N=4 travel_real_04849 seed=2 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5111,1775)
  N=4 travel_real_04849 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(18123,2129)
  N=4 travel_real_04849 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(20539,4395)
  N=4 travel_real_04849 seed=2 arm=intro_specter: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6768,3591)
  N=4 travel_real_05034 seed=0 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2748,1500)
  N=4 travel_real_05034 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7340,3374)
  N=4 travel_real_05034 seed=0 arm=full_regen: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5496,2582)
  N=4 travel_real_05034 seed=0 arm=react: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5549,2314)
  N=4 travel_real_05034 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(17861,3099)
  N=4 travel_real_05034 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(23150,5382)
  N=4 travel_real_05034 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7494,2190)
  N=4 travel_real_05034 seed=1 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2748,1500)
  N=4 travel_real_05034 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7340,3374)
  N=4 travel_real_05034 seed=1 arm=full_regen: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5496,2677)
  N=4 travel_real_05034 seed=1 arm=react: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5549,2314)
  N=4 travel_real_05034 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(21059,3632)
  N=4 travel_real_05034 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(23150,5382)
  N=4 travel_real_05034 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7494,2190)
  N=4 travel_real_05034 seed=2 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2748,1887)
  N=4 travel_real_05034 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(8133,4629)
  N=4 travel_real_05034 seed=2 arm=full_regen: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5496,2596)
  N=4 travel_real_05034 seed=2 arm=react: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5549,4264)
  N=4 travel_real_05034 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(17344,3275)
  N=4 travel_real_05034 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(27178,7397)
  N=4 travel_real_05034 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(8287,5647)
  N=4 travel_real_05138 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2621,299)
  N=4 travel_real_05138 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5589,778)
  N=4 travel_real_05138 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5242,879)
  N=4 travel_real_05138 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5295,1448)
  N=4 travel_real_05138 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19917,1000)
